"strain","library","condition","total","passing","dropped","to_few"
"316","L1","SDMM",67891,13.7985889145837,25.6086962925866,86.2573831582979
"316","L1","CDM",66141,16.0898686140216,21.4949879802241,83.9947989900364
"316","L1","MMCDM",65712,14.0491843194546,25.9982955928902,85.9827733138544
"316","L1","CDM-CaPantothenate",64957,14.5188355373555,26.1896331419247,85.5396647012639
"316","L1","CDM-Uracil",66367,15.6448234815496,22.2972260310094,84.4275016197809
"316","L1","CDM-Glycine",62115,13.9724704177735,31.2951782983176,86.0693874265475
"316","L1","CDM-Isoleucine",63701,14.6308535187831,26.6290953046263,85.4350795120956
"316","L1","CDM-Valine",74611,14.0368042245781,18.5026336599161,86.0208280280388
"316","L2","SDMM",72428,17.4228199039046,21.5234439719446,82.6876346164467
"316","L2","CDM",69582,17.8796240407002,24.8584404012532,82.2109166163663
"316","L2","MMCDM",69539,16.5648053610204,29.2166985432635,83.4768978558794
"316","L2","CDM-CaPantothenate",69457,16.4331888794506,26.1917445325885,83.6560749816433
"316","L2","CDM-Uracil",73163,15.8522750570644,24.5588617197217,84.231100419611
"316","L2","CDM-Glycine",69318,16.4473874029834,27.650826625119,83.6348423208979
"316","L2","CDM-Isoleucine",70820,16.5221688788478,26.7438576673256,83.539960463146
"316","L2","CDM-Valine",85516,16.6974601244212,15.9923289209037,83.3972589924692
"316","L3","SDMM",74321,9.96084552145423,27.2843476271848,90.0135896987393
"316","L3","CDM",69561,10.7287129282213,30.7830537226319,89.2525984387804
"316","L3","MMCDM",72032,9.48883829409152,30.0213793869391,90.4695135495335
"316","L3","CDM-CaPantothenate",65526,4.54476085828526,35.2089247016452,95.3651985471416
"316","L3","CDM-Uracil",66128,9.36668279699976,33.2325187515122,90.5577062666344
"316","L3","CDM-Glycine",66824,9.745001795762,33.0869148808811,90.2071112175266
"316","L3","CDM-Isoleucine",67518,7.11958292603454,33.1348677389733,92.8285790455878
"316","L3","CDM-Valine",92221,9.06301167846803,19.4695351384175,90.936988321532
"316","L4","SDMM",77802,9.10130844965425,34.4309914912213,90.3524330994062
"316","L4","CDM",73451,8.35659146914269,38.1900859076119,91.0920205306939
"316","L4","MMCDM",70377,5.75756284013243,41.529192776049,93.4737201074215
"316","L4","CDM-CaPantothenate",70842,7.46591005335818,40.2077863414359,91.9849806611897
"316","L4","CDM-Uracil",73918,7.40820909656646,35.895181146676,91.9167185259341
"316","L4","CDM-Glycine",72112,7.73518970490348,37.852229864655,91.9042600399379
"316","L4","CDM-Isoleucine",72131,5.96137583008692,40.6052876017246,93.3135545049979
"316","L4","CDM-Valine",105798,9.0871283011021,16.6978581825743,90.9960490746517
"316","L5","SDMM",76143,4.83432488869627,21.3138436888486,95.1801216132803
"316","L5","CDM",67992,5.0329450523591,27.0914225202965,94.9052829744676
"316","L5","MMCDM",69729,7.25666508913078,25.5360036713563,92.717520687232
"316","L5","CDM-CaPantothenate",68436,6.11520252498685,27.3043427435852,93.8321935823251
"316","L5","CDM-Uracil",64771,6.09068873415572,29.0824597427861,93.8429235305924
"316","L5","CDM-Glycine",67310,6.57406031793196,27.2782647452087,93.3828554449562
"316","L5","CDM-Isoleucine",78557,10.3949998090558,21.2164415647237,89.6279134895681
"316","L5","CDM-Valine",106843,8.77923682412512,12.1243319637225,91.2563293804929
"316","L6","SDMM",57469,8.98745410569176,12.9739511736762,91.0891089108911
"316","L6","CDM",110704,3.27901430842607,4.89955195837549,96.7462783639254
"316","L6","MMCDM",55873,10.0155710271509,14.0246630751884,90.0936051402287
"316","L6","CDM-CaPantothenate",49519,6.31272844766655,18.8291362911206,93.7276600900664
"316","L6","CDM-Uracil",54672,9.14362013462101,14.3345771144279,90.9277143693298
"316","L6","CDM-Glycine",52287,9.02327538393865,17.7118595444374,91.0513129458565
"316","L6","CDM-Isoleucine",65441,10.0869485490747,9.5643403982213,90.0123775614676
"316","L6","CDM-Valine",89867,6.27149009091213,6.32935337776937,93.7785839073297
"D39","L1","SDMM",25896,30.7383379672536,41.1028730305839,69.2616620327464
"D39","L1","CDM",31947,26.6629104454252,25.9022756440354,73.3339593702069
"D39","L1","MMCDM",24284,34.9942348871685,40.1334211826717,64.9892933618844
"D39","L1","CDM-CaPantothenate",43308,20.3865336658354,18.9572365382839,79.6388657984668
"D39","L2","SDMM",35052,31.4361520027388,7.82836927992697,68.7664041994751
"D39","L2","CDM",31826,22.1642682083831,10.535411298938,78.0933827688054
"D39","L2","MMCDM",33109,33.4259566885137,9.49892778398623,66.7794255338428
"D39","L2","CDM-CaPantothenate",61614,18.7538546434252,3.65014444769046,81.3581328918752
"D39","L3","SDMM",22948,34.3472198012899,29.6670733833014,65.7747951891232
"D39","L3","CDM",22694,32.6518022384771,30.5719573455539,67.4275138803208
"D39","L3","MMCDM",36960,21.6964285714286,16.4962121212121,78.3387445887446
"D39","L3","CDM-CaPantothenate",64035,11.6373858046381,8.43444991020536,88.4063402826579
"D39","L4","SDMM",31990,35.2829009065333,16.3988746483276,64.8515160987809
"D39","L4","CDM",30968,34.2288814259881,19.3619219839835,65.9002841642986
"D39","L4","MMCDM",33714,29.7828795159281,19.3984694785549,70.2794091475351
"D39","L4","CDM-CaPantothenate",66033,16.2857964956915,7.2660639377281,83.7717504883922
"D39","L5","SDMM",39795,19.9472295514512,18.8591531599447,80.1507727101395
"D39","L5","CDM",24821,35.006647596793,31.9648684581604,65.0699004874904
"D39","L5","MMCDM",32147,24.422185584969,24.4346284256696,75.5871465455564
"D39","L5","CDM-CaPantothenate",44561,20.6750297345212,14.7730077870784,79.3496555283768
"D39","L6","SDMM",40114,21.6158947001047,15.1717604826245,78.5286932243107
"D39","L6","CDM",29735,36.9564486295611,20.8912056499075,63.1478056162771
"D39","L6","MMCDM",46109,21.6074952829166,12.7285345594136,78.4705805807977
"D39","L6","CDM-CaPantothenate",41593,21.4074483687159,16.1325222994254,78.6935301613252
"19F","L1","CDM",110032,3.53715282826814,15.1401410498764,96.5410062527265
"19F","L1","MMCDM",114004,5.41647661485562,10.8496193116031,94.7089575804358
"19F","L1","CDM-CaPantothenate",131071,10.8597630291979,7.23119530636067,89.283670682302
"19F","L1","CDM-Uracil",129203,10.485824632555,7.25524949111089,89.6782582447776
"19F","L1","CDM-Glycine",119573,8.90836560092998,10.1895912956938,91.2154081607052
"19F","L1","CDM-Isoleucine",117141,10.86639178426,8.73306528030322,89.3077573181038
"19F","L1","CDM-Valine",121650,11.3908754623921,8.31894780106864,88.7891491985203
"19F","L2","CDM",152538,4.07111670534555,20.2526583539839,96.0108300882403
"19F","L2","MMCDM",147931,3.56247169288384,16.1703767296915,96.519999188811
"19F","L2","CDM-CaPantothenate",167652,9.59069978288359,10.418605206022,90.552453892587
"19F","L2","CDM-Uracil",161658,10.0805404001039,8.46973239802546,90.0957577107226
"19F","L2","CDM-Glycine",159052,9.18881875110027,12.2381359555366,90.9369262882579
"19F","L2","CDM-Isoleucine",154071,3.74307948932635,15.3727826781159,96.3348066800371
"19F","L2","CDM-Valine",157848,7.21136789823121,18.0331711519943,92.8937965637829
"19F","L3","CDM",149857,6.1705492569583,8.08437376966041,93.9442268295775
"19F","L3","MMCDM",146365,3.74338127284528,12.4387660984525,96.3208417312882
"19F","L3","CDM-CaPantothenate",145435,2.69261181971327,13.287035445388,97.3651459414859
"19F","L3","CDM-Uracil",139520,2.34446674311927,28.0805619266055,97.6985378440367
"19F","L3","CDM-Glycine",139864,2.44165761024996,17.8173082422925,97.6062460676085
"19F","L3","CDM-Isoleucine",148403,6.60027088401178,10.8481634468306,93.5122605338167
"19F","L3","CDM-Valine",153358,8.67251789929446,7.34686159183088,91.4741976290771
"19F","L4","CDM",130289,3.60813268963612,14.7541235253935,96.4770625302213
"19F","L4","MMCDM",131180,5.9772831224272,14.0173806982772,94.1309650861412
"19F","L4","CDM-CaPantothenate",158500,11.4813880126183,6.31230283911672,88.6927444794953
"19F","L4","CDM-Uracil",140976,7.26364771308591,9.19092611508342,92.851974804222
"19F","L4","CDM-Glycine",145170,7.02762278707722,8.86615691947372,93.1149686574361
"19F","L4","CDM-Isoleucine",146760,8.54933224311802,9.5918506405015,91.5821749795585
"19F","L4","CDM-Valine",144962,8.59880520412246,8.46359735654861,91.5577875581187
"19F","L5","CDM",154148,3.21638944391105,18.1338713444222,96.854321820588
"19F","L5","MMCDM",147167,3.70803237138761,18.1440132638431,96.3728281476146
"19F","L5","CDM-CaPantothenate",162323,10.941764260148,8.36911589854796,89.210401483462
"19F","L5","CDM-Uracil",159557,11.8377758418622,7.76901044767701,88.334576358292
"19F","L5","CDM-Glycine",152415,8.65072335400059,13.3569530558016,91.5008365318374
"19F","L5","CDM-Isoleucine",185919,6.55608087392897,38.0843270456489,93.4589794480392
"19F","L5","CDM-Valine",153144,9.17110693203782,12.4444966828606,90.9823434153476
"19F","L6","CDM",122331,2.83738381930991,30.7738839705389,97.2206554348448
"19F","L6","MMCDM",121566,6.24516723425958,19.2652550877713,93.8699965450866
"19F","L6","CDM-CaPantothenate",136507,12.9619726460914,14.7882526170819,87.1874702396214
"19F","L6","CDM-Uracil",127083,9.87543573884784,15.6393852836335,90.3000401312528
"19F","L6","CDM-Glycine",126937,8.42543939119406,18.0995296879554,91.7392092140196
"19F","L6","CDM-Isoleucine",187900,8.12240553485897,23.0548163916977,91.9505055880788
"19F","L6","CDM-Valine",140485,12.5230451649642,14.4677367690501,87.6243015268534
